リロ,リロ・アンド・スティッチザ・シリーズ～2まで
天使恵,GJ部
兎澤緒,蟲師
宝多六花,SSSS.GRIDMAN
ルミア=ティンジェル,ロクでなし魔術講師と禁忌教典
風見ゆり,すのはら荘の管理人さん
