アトミナ,ソフィーのアトリエ～不思議な本の錬金術士～
シルヴィア・シルクカット,魔装学園H×H
鳴瀬あゆみ,アイカツスターズ!
コロン・リン・プルガトリオ(右),終末なにしてますか?忙しいですか?救ってもらっていいですか?
上野,ガヴリールドロップアウト
アレキサンダー（ペットの方）,同左
牧野郁美,マギアレコード
ティキ,戦姫絶唱シンフォギアAXZ
グレーテル,グリムノーツ
糸見沙耶香,刀使ノ巫女
本田華子,あそびあそばせ
フワ,スター☆トゥインクルプリキュア
リネル・シンセシス・トゥエニエイト,ソードアート・オンラインアリシゼーション
バンドウイルカ,けものフレンズ2
"",""
