金城美姫,ガンパレード・オーケストラ
マリナ・イスマイール,機動戦士ガンダム00
久宇舞弥,Fate/Zero
伊達政宗,戦国コレクション
ミルド,ヨルムンガンド
マリナ・アスノ,機動戦士ガンダムAGE
ロミ・イゼルカント,機動戦士ガンダムAGE
貂蝉キュベレイ,SDガンダム三国伝 Brave Battle Warriors
孫,絶体絶命でんぢゃらすじーさん
川尻崇子（画像左下）,花咲くいろは
森さん,GJ部
ラケージ,翠星のガルガンティア
薬師ノノウ,NARUTO
小野田優良,ふたりエッチ※
"",""
