花咲陽一,ハートキャッチプリキュア
相田健太郎,ドキドキ!プリキュア
マイロ,スイチュー!フレンズ
空豆クリキントン,ドクタースランプ
夏海イワオ,絶対可憐チルドレン
オヤジーデ(2代目),おジャ魔女どれみシリーズ ※故・松尾銀三の後任
菊池貴則,それでも町は廻っている
鹿島匠(画像中央),おおきく振りかぶって
ジュダ・スペクター,ウルトラファイトビクトリー
