住之江りこ,kiss×sis
皐月あやめ,聖痕のクェイサーII
コロン,ズーブルズ
ミッテルト,ハイスクールD×D
エイプリル・ランバート,モーレツ宇宙海賊
西園美魚(1期代役)、西園美鳥,リトルバスターズ!
ノア,キューティクル探偵因幡
白金ぎんか,幻影ヲ駆ケル太陽
北枕ひばち,天使のどろっぷ
レティシア=ドラクレア,問題児たちが異世界から来るそうですよ?
ジブラルタアル,ウィッチクラフトワークス
北山雫,魔法科高校の劣等生
シマたん,えとたま
立花彩,探偵チームKZ事件ノート
ジョーヌ・クラフティ,"DOG DAYS"""
カナタ,"DOG DAYS"""
ちびエビ,ノラガミ ARAGOTO
哘雅楽乃,乙女はお姉さまに恋してる 〜2人のエルダー〜
萩野みどり,エクスメイデン
