アスラーダ,新世紀GPXサイバーフォーミュラ
プロスペクター,機動戦艦ナデシコ
高遠遙一,金田一少年の事件簿
ギン,ONEPIECE
ラーメンマン,キン肉マンⅡ世
モンゴルマン,キン肉マン(ゲーム)
ダーク・ミヤビ,ロックマンエグゼ
ゼンガー・ゾンボルト,スーパーロボット大戦シリーズ
りすくませんぱい,ぷよぷよ7
番犬座のドーレ,聖闘士星矢Ω
マット・コーガン,ジャングルの王者ターちゃん
ふたりはプリキュア,ジャアクキング（画像奥）
典韋,蒼天航路
"",""
"",""
