デビッド・ラザフォード（イラスト右上）,蒼き流星SPTレイズナー
グローバイン,マシンロボ クロノスの大逆襲
アッサーム,NG騎士ラムネ&40
イアン・ヴァスティ,機動戦士ガンダム00
バリー・ザ・チョッパー,鋼の錬金術師 FULLMETAL ALCHEMIST
二代目水影,NARUTO
アルファロ,トリコ
ディアマンテ,ONEPIECE
赤玉先生,有頂天家族
