リトアニア,Axis Powers ヘタリア
海堂貴緒,LOVELESS
三浦蘭丸,DEAR BOYS
小澤翔,学園ヘヴン BOY'S LOVE HYPER!※左の人物
住之江圭太,Kiss×sis※真ん中の人物
沢村優司,エリアの騎士
端木落月,Spiritpact
