オサキ狐,緋色の欠片
菅野史※,デビルサバイバー2
シャルル=ボナパルト,フリージング ヴァイブレーション
相沢保美,アオイシロ
綾小路美麗,ガールフレンド(仮)
百瀬莉緒,アイドルマスターミリオンライブ!
三ノ輪聖,ばくおん!!
"",""
"",""
