飛羽愛歌,アマガミ
姫路瑞希,バカとテストと召喚獣
乃莉,ひだまりスケッチ×☆☆☆
二条秋,マケン姫っ!
るい,ドリームクラブ
飛鳥,閃乱カグラ
十時愛梨,アイドルマスターシンデレラガールズ
富士さん,波打際のむろみさん
※夜々,機巧少女は傷つかない
マーベラスAQLちゃん,神次元ゲイムネプテューヌV/超次次元ゲイムネプテューヌRe;Birth1
望月エレナ,ガールフレンド(仮)
くみ（画像の左下）,人生相談テレビアニメーション「人生」
相良百華,ヴァルキリードライヴマーメイド
朝比奈心美,バトルガールハイスクール
平景清,ビッグオーダー
セクシーボンバー(※イラスト左下),スーパーボンバーマンR
