レン・カラス,エレメントハンター
イオ,ケロロ軍曹
フカイ・アオ,エウレカセブンAO
真火,蟲師
ヒロ・ハマダ,ベイマックス
杉野友人,暗殺教室（ジャンプスーパーアニメツアー2013版）
