矢玉アナ,はれときどきぶた
ネフェルタリ・ビビ,ONEPIECE
朱絹,バジリスク
間宮リナ※,ひぐらしのなく頃に
紅峰,夏目友人帳
ノーザ,フレッシュプリキュア！
マーテル,テイルズオブシンフォニア
EVA,METAL GEAR SOLID 3
妖幻密使バンキュリア,魔法戦隊マジレンジャー
ゴールド・エクスペリエンス・レクイエム(右側),ジョジョの奇妙な冒険オールスターバトル/アイズオブヘブン
クイン・ベリル,美少女戦士セーラームーンCrystal
加古望,ワールドトリガー
