苑樹雪菜,閃光のナイトレイド
リゼリッタ,アンジュ・ヴィエルジュ
ルビー,アンジュ・ヴィエルジュ
百合ヶ咲るる,ユリ熊嵐
泉田京香,八月のシンデレラナイン
