夏侯惇ギロスほか,SDガンダム三国伝
マキシ,ソウルキャリバーV
ハンソ郎,最強銀河究極ゼロバトルスピリッツ
ディーアイ,バイオハザード オペレーション・ラクーンシティ
ブノワ,ファイアーエムブレムif
スポック（ザカリー・クイント）,スタートレックシリーズ
セイバーホーン,トランスフォーマーアドベンチャー
