東十条つぐみ,アキハバラ電脳組
トンガリくん,とっとこハム太郎
霧間凪※,ブギーポップは笑わない
青山素子,ラブひな
三谷祐輝,ヒカルの碁
榊さん,あずまんが大王
刑部絃子,スクールランブル
カプーショ,うえきの法則
工藤百華,ガンパレードオーケストラ
趙雲子龍,一騎当千
草壁美鈴,11eyes
塚原響,アマガミ
河口紀美,けいおん!
川神百代,真剣で私に恋しなさい!!
東雲皐月,恋と選挙とチョコレート
アナスタシア,BRAVE10
橘翔,真ゲッターロボ対ネオゲッターロボ
ロザミア・バダム,機動戦士Ζガンダム(映画)
桜井小蒔,東京魔人學園
セフル,遙かなる時空の中で
小町つぐみ,ever17
レブロ,ファイナルファンタジー13
大道寺先輩,閃乱カグラ
ネル・ゼルファー,スターオーシャン3
レオーネ,アカメが斬る!
今井コウジ,今日の5の2(OVA)
イレーナ,悪魔のリドル
プリス,バブルガムクライシス TOKYO2040
