牧村南,こみっくパーティー
久保貴子,咲-Saki-
神月かりん,ストリートファイター
クロウディア,マール王国の人形姫
九段下舞佳,ときめきメモリアル2
極上のサルバトーレ,魔界戦記ディスガイア3
