メルチェリーダ・ユグヴァール,アスタロッテのおもちゃ!
ダークミント,映画 Yes!プリキュア5 鏡の国のミラクル大冒険!
丁,X（劇場版）
木之本撫子,カードキャプターさくら
紗和々,怪物王女
リンゴ,キャシャーンsins
クレア,銀河鉄道999 エターナル・ファンタジー
犬山純子,ゲゲゲの鬼太郎（6期）＊1
茜,GS美神＊2
八百鼡,最遊記
ジュエリーナ,ジュエルペットサンシャイン
則巻みどり,Dr.スランプ（1997年版）＊
パン,ドラゴンボールシリーズ(Z、GT)
ビーデル,ドラゴンボールシリーズ(Z、GT、超)
ノラミャー子,2112年 ドラえもん誕生
はるか,ハートキャッチプリキュア
三千院紫子,ハヤテのごとく!
土萠ほたる/セーラーサターン,美少女戦士セーラームーンシリーズ
アプリコット姫,ボスコアドベンチャー
ヤクモ,マシュランボー
キラ,ヤダモン
猪熊柔,YAWARA!
猫娘,映画妖怪ウォッチ シャドウサイド 鬼王の復活
ポートガス・D・ルージュ,ONEPIECE
