森谷ヒヨリ,琴浦さん
熊野さん,ミカグラ学園組曲
ロキ,ダンジョンに出会いを求めるのは間違っているだろうか
ティオニシア,モンスター娘のいる日常
櫻美鳳,VALKYRIE DRIVE –MERMAID-
エーコ・タービン,機動戦士ガンダム鉄血のオルフェンズ
栗林菜々美,GATE 自衛隊彼の地にて、斯く戦えり
フィルフィ・アイングラム,最弱無敗の神装機竜
里中チエ,大家さんは思春期!
知床鈴,ハイスクール・フリート
ちゃ顧問,あまんちゅ!
サラ・クレイス（画像右）,レガリア The Three Sacred Stars
雪見小梅,うらら迷路帖
櫛田桔梗,ようこそ実力至上主義の教室へ
ユーリ,少女終末旅行
水越澪,りゅうおうのおしごと!
梓川かえで/梓川花楓,青春ブタ野郎シリーズ
