鮎沢紗奈,会長はメイド様!
鳥羽ゆたか,だぶるじぇい
レキ,緋弾のアリア
谷川柑菜,あの夏で待ってる
鶴眞心乃枝,この中に1人、妹がいる!
清水谷竜華,咲-Saki-阿知賀編episode of side-A
大倉美菜,だから僕は、Hができない。
崔亦菲,トータルイクリプス
アラジン,マギ
京乃まどか,輪廻のラグランジェ
小豆梓,変態王子と笑わない猫。
音城セイラ,アイカツ!
久沼さゆ,凪のあすから
アヴローラ・フロレスティーナ,ストライク・ザ・ブラッド
ロザリー,クロスアンジュ天使と竜の輪舞
櫻田奏,城下町のダンデライオン
三栖立つばさ,ガッチャマンクラウズ
桜井のぞみ,かみさまみならい ヒミツのここたま
近藤うどん子,てーきゅう
真ヶ土翔太,小林さんちのメイドラゴン
ノーバ,怪獣娘(黒)〜ウルトラ怪獣擬人化計画〜
清水亜希,ベイビーステップ
月白瞳美,色づく世界の明日から
