吉田歩美,名探偵コナン
筧朔羅,GetBackers
ルナ,無人惑星サヴァイヴ
仁科恭子,月は東に日は西に
相楽寛子（画像左）,ハピネスチャージプリキュア!
ファ・ユイリィ,Zガンダム※1
ウォルヤファ,ラグナロクオンライン(TVアニメ版)
"",""
