海雲帆,霊剣山シリーズ
障子目蔵,僕のヒーローアカデミア
カフェト,DRIFTERS
イズナ・シモン,ガンダムビルドファイターズトライ
白田晃/グロスオーゲン,コンクリート・レボルティオ～超人幻想～
ティキ・ミック,D.Gray-man HALLOW
アインス※1,ログ・ホライズン
十和田良樹※2,ハイキュー!!
バニル,この素晴らしい世界に祝福を!
エクトプラズム,僕のヒーローアカデミア
