イシカワ,攻殻機動隊
カエル医者,とある魔術の禁書目録
昌文君,キングダム
ミケーネ,聖闘士星矢Ω
篠原幸紀（右）,東京喰種
国友広重（右上）,ダイヤのA
山口多聞,ドリフターズ
