御子神ナギサ,あにゃまる探偵キルミンずぅ
ミーナ・カロライナ,進撃の巨人
細野サクヤ,ダンボール戦機ウォーズ
チャイカ・トラバント,棺姫のチャイカ
首藤涼,悪魔のリドル
蚊女,HUNTER×HUNTER
ヤス・メグタ,ガンダムビルドファイターズトライ
高坂麗奈,響け!ユーフォニアム
秋元いちか,神さまの言うとおり(webアニメ)
メリイ,灰と幻想のグリムガル
アネット・ホーゼンフェルト,シュヴァルツェスマーケン
後藤姫,かくしごと1巻発売告知アニメ
祝ノリ,ケイオスドラゴン赤竜戦役
千種明日葉,クオリディア・コード
一ノ瀬桃子,タブー・タトゥー
草薙キセキ,対魔導学園35試験小隊
安楽岡花火,クズの本懐
緑川真希,サクラクエスト
青羽美咲,アイドルマスターミリオンライブ!シアターデイズ
天堂真知,オルタナティブガールズ
押田,ガールズ&パンツァー 最終章
桐山直,たくのみ。
古手川千紗,ぐらんぶる
高殿栞,D×2真・女神転生リベレーション
キャサリン・ロシュフォール,DOUBLEDECKER!
