獅子丸,忍者ハットリくん
忍部幻龍斎,魔神英雄伝ワタル
早乙女玄馬,らんま1/2
阿笠博士,名探偵コナン
キタキタおやじ,魔法陣グルグル
冥加,犬夜叉
デデデ大王,星のカービィ(アニメ)
あたるの父,うる星やつら
サンタ,銀魂
五老星の一人,ONEPIECE
父,あたしンちシリーズ
ケロロの父,ケロロ軍曹
Dr.ワイリー,ロックマン(OVA版)
シャミセン,涼宮ハルヒの憂鬱
アナライザー,宇宙戦艦ヤマト
暗黒大将軍,グレートマジンガー
デニム,機動戦士ガンダム
垂金権造,幽遊白書
テッセン,ポケットモンスターAG
プルート,ポケットモンスターDP
島津義弘,戦国BASARA
ヒドラー元帥,ゲッターロボG
エビス丸,がんばれゴエモン
アクアク,クラッシュバンディクーシリーズ
ダヨーン,おそ松くん
アグラマント,魔動王グランゾート
ヤッターヨコヅナ,タイムボカンシリーズ・ヤッターマン(1977年版)
アルフォンゾ・アンドレッティ,七つの海のティコ
グラントリノ,僕のヒーローアカデミア
ラナ,宇宙船サジタリウス
ぶたまんまん,それいけ!アンパンマン
へどろまん,それいけ!アンパンマン
