櫂トシキ,カードファイト!!ヴァンガード
シーザー・A・ツェペリ,ジョジョの奇妙な冒険
神田ユウ,D.Gray-man HALLOWD
ユウキ・タツヤ(メイジン・カワグチ),ガンダムビルドファイターズ
ルイン・リー(マスク),ガンダム Gのレコンギスタ
鎌先靖志,ハイキュー!!
前田慶次,義風堂々!!兼続と慶次
二階堂,ドキドキ!プリキュア
水嶌みつよし,キラキラ☆プリキュアアラモード
沼川拓也,1日外出録ハンチョウ
國崎千比路,火ノ丸相撲
