ラウル・チェイサー,勇者になれなかった俺はしぶしぶ就職を決意しました。
ユジン,ダンボール戦機
前島学,Another
別府月彦（VEPPer）,美男高校地球防衛部LOVE! LOVE!
七島希,私がモテてどうすんだ
