芦屋睦月,曇天に笑う
ベルフェゴール,家庭教師ヒットマンREBORN!
リャン,ナンバカ
大杉栄光,相州戦神館學園八命陣(PSP版)
ラケシュ・チャンドラセカール,銀河機攻隊マジェスティックプリンス
夢魔,絶対迷宮グリム
ジャック・ミラーズ,英国探偵ミステリア（PSP版）
