アリサ,楽しいムーミン一家
九鬼麗/怨夜巫女,ゲンジ通信あげだま
ドーター,爆れつハンター
辻本夏実,逮捕しちゃうぞ
タチコマ,攻殻機動隊SAC
志久るみ,ハートキャッチプリキュア
ピロテース,ロードス島戦記
ライム,宝魔ハンターライム
火球皇女,美少女戦士セーラームーン セーラースターズ
ゾロリーヌ,かいけつゾロリ
エンエン,映画プリキュアオールスターズNS2 こころのともだち
ソフィア・ブラン,創聖のアクエリオン
宮野明美,名探偵コナン
戸山さん,あたしンちシリーズ ※メイン画像四角いメガネをかけたマダム。
風間みね子（風間くんのママ）,クレヨンしんちゃん ※メイン画像右の人物。
アララ・ココア,NG騎士ラムネ&40
山咲桜,BLUESEED
陣内理香,サマーウォーズ
