俺牙ファイヤ,オレカバトル
ラッセル(右側),トランスフォーマーアドベンチャー
立神あおい/キュアジェラート,キラキラ☆プリキュアアラモード
空閑遊真,ワールドトリガー
昭弘・アルトランド〈少年時代〉(左側),機動戦士ガンダム鉄血のオルフェンズ
月島蛍(小学生時代),ハイキュー!!
太陽の竜バルドラゴン,フューチャーカードバディファイトDDD
アラニエ,ルパン三世PART5
骨髄球,はたらく細胞
ミシェル・ルオ,機動戦士ガンダムNT
"",""
"",""
