観世音菩薩,最遊記RELOAD以降
白鳥・D・黒羽,東のエデン
鳴瀬涼子,シャングリ・ラ
プレシア・テスタロッサ,リリカルなのはシリーズ
カーラ,ロードス島戦記
ヤシャ／ウラシマ,MUSASHI-GUN道
