春風どれみ,おジャ魔女どれみ
胡喜媚,封神演義
ワンニャー,だぁ!だぁ!だぁ!
雛子,シスタープリンセス
霧里七華,ななか6/17
キツルバミ,フリクリ
アクアマン,ロックマンエグゼシリーズ
アクミ（左側）,ミルモでポン!
アンナ,レジェンズ
霧崎恭子/マジカルキョーコ,ToLOVEる/BLACKCAT
マリカ,マリー&ガリー
テモテモ（右側）,極上!!めちゃモテ委員長
シナダ・ベニオ/スカーレットキス,STARDRIVER
雪華綺晶,ローゼンメイデン（2013年アニメ版）
あこや,蟲師
たまごちゃん（右下）,おでんくん
山科ルリコ,タイガーマスクW
ビブリー,キラキラ☆プリキュアアラモード
