成田一仁,ハイキュー!!
鬼怒川熱史,美男高校地球防衛部LOVE!
松久＆児玉,ディーふらぐ!
雲母朔太郎,ジュエルペットマジカルチェンジ
日染芳春,キズナイーバー
深海奏汰,あんさんぶるスターズ!
皆木綴,A3!
気田悠人,ALLOUT!!
鹿島竜一(兄),学園ベビーシッターズ
麗朔空,アイ★チュウ
ローレンツ,千銃士
"",""
