こうもり猫,悪魔くん
カツ・コバヤシ,機動戦士Ζガンダム
カール・ハインツ・シュナイダー,キャプテン翼（昭和版）
佐木竜太,金田一少年の事件簿
飛燕,魁!!男塾
魚座のアフロディーテ,聖闘士星矢
ジュリアン・ソロ,聖闘士星矢
ポップ,ダイの大冒険
ブロードキャスト,戦え!超ロボット生命体トランスフォーマー
レオザック,戦え!超ロボット生命体トランスフォーマーV
上杉和也,タッチ＊1
桃生純太,D・N・A2〜何処かで失くしたあいつのアイツ〜
ピノッキモン,デジモンクロスウォーズ
ワイルダー,トランスフォーマー超神マスターフォース
ジョア,トリコ
タンノくん（初代）,南国少年パプワくん
加納零,はーいステップジュン＊2
切出翔,ハイスクール!奇面組
アンディ・ボガード,バトルファイターズ 餓狼伝説
海野ぐりお,美少女戦士セーラームーン＊3
ゾイサイト,美少女戦士セーラームーン
モエルンバ,ふたりはプリキュアsplash☆star
バット（青年期）,北斗の拳2
ケムンパス,もーれつア太郎（1990年版）
