沙布,NO.6
シュシュ,アクエリオンEVOL
アスタ・アルハンコ,モーレツ宇宙海賊
美墨かしこ,断裁分離のクライムエッジ
久米川牡丹,あんハピ♪
コネコ,ハマトラ
加藤恵,冴えない彼女の育てかた
井上真由子,うしおととら(2015年TVアニメ版)
グレーテル・イェッケルン,シュヴァルツェスマーケン
北大路さくら,アイカツ!
カナメ・バッカニア,マクロスΔ
小早川ティナ,"WakeUp,Girls!"
ニャスパー,ポケットモンスターXY
サラ・ゴールド,異世界食堂
ルミエル,キラキラ☆プリキュアアラモード
立川裕子,寄生獣
波動ねじれ,僕のヒーローアカデミア
天宮えれな/キュアソレイユ,スター☆トゥインクルプリキュア
