中尾順太,Another
日所好己,ダイヤのA
矢巾秀,ハイキュー!!
千手扉間(少年期),NARUTO
うちはカガミ,NARUTO疾風伝
無垢(幼少期),劇場版 NARUTO ブラッド・プリズン
祭陽希咲,アルドノア・ゼロ
三日月・オーガス,機動戦士ガンダム鉄血のオルフェンズ
桐山零,3月のライオン
宮本輝之輔,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
ジョン・S,文豪ストレイドッグス
ミョムト,蒼い世界の中心で
蓮井,べるぜバブ
影月明,モンスターストライク
伴俊作,アトムザ・ビギニング
太上老君,覇穹封神演義
