ところ天の助,ボボボーボ・ボーボボ
調辺音吉,スイートプリキュア♪
バウ,平成イヌ物語バウ
怪盗ふんどし仮面,銀魂
シルバーズ・レイリーほか,ONEPIECE
ドリアン,コロッケ!
