青龍のキバチヨ,陰陽大戦記
榛蘇芳,彩雲国物語
九角天童,東京魔人學園
ドロセル・カインズ,黒執事
土御門元春,とある魔術の禁書目録
ドルチェット,鋼の錬金術師 FULLMETALALCHEMIST
カゲヤマ,FAIRYTAIL
月島アルゴ,ギルティクラウン
仙道ダイキ,ダンボール戦機
ウルフ,遊戯王ZEXAL
斑目貘,嘘喰い(OVA)
狩谷拘輝,すばらしきこのせかい
ギラヒム,ゼルダの伝説 スカイウォードソード
ナイル・ドーク,進撃の巨人
ガンター,キック・ザ・びっくりボーイ
フラクチャー,トランスフォーマーアドベンチャー
ティエルノ,ポケットモンスターXY
チャカ,ジョジョの奇妙な冒険 スターダストクルセイダース
荒木鉄平,暗殺教室（イラスト左下）
イスカ・マキシマ,DOGDAYS´（イラスト右）
ランディ・マクスウエル,銀河機攻隊マジェスティックプリンス（イラスト右）
古間円児,東京喰種
