フレイア・ヴィオン,マクロスΔ
詩之本秋穂,カードキャプターさくらクリアカード編
ノワール(転生後)(左側),キラキラ☆プリキュアアラモード
エマ,グランクレスト戦記(左側)
キリン(左側),直感×アルゴリズム♪
篠塚桃,ちおちゃんの通学路
