四埜宮謡/アーダー・メイデン,アクセル・ワールド
アルマリア,アンジュ・ヴィエルジュ
小平先生,あんハピ♪
アリシア・クリステラ,異世界魔王と召喚少女の奴隷魔術
佐藤真子,頭文字D（新劇場版）
四十院神楽,インフィニット・ストラトス
アルベド,オーバーロード
花江恵理,俺がお嬢様学校に「庶民サンプル」としてゲッツ♡された件
マリー,ガールズ&パンツァー 最終章
アイ,怪盗ジョーカー
アレクサンドラ・I・ポクルイーシキン,ストライクウィッチーズ（劇場版）/ブレイブウィッチーズ
庚夕子,黄昏乙女×アムネジア
浅見リリス,トリニティセブン
風沙燕,一人之下 the outcast
クノイチ,ビキニ・ウォリアーズ
たかにゃ,ぷちます!
雨谷小雨,魔法少女サイト
高橋潤,ラーメン大好き小泉さん
白峰樒,恋愛暴君
都大路綾,ロウきゅーぶ!SS
マリエール,ログ・ホライズン
