善行忠孝,ガンパレード・マーチ
大前田希千代,BLEACH
鳳橋楼十郎,BLEACH
水妖王子ゼニス,ライブオン
鴉室洋介,九龍妖魔學園紀
スプリンター,ミュータントタートルズ（2003年版）
呪いのデーボ,ジョジョの奇妙な冒険 スターダストクルセイダース
アンザン（下の岩）,アンリミテッド:サガ
"",""
