北斗の拳（第1作）,バット
キャプテン翼（初代）,浦辺反次
キャプテン翼（初代）,松山光
聖闘士星矢,ランドクロスの大地
ミスター味っ子,堺一馬
ちびまる子ちゃん,さくらすみれ
まじかる☆タルるートくん,ライバー
少年アシベ,阿南スガオ
クレヨンしんちゃん,マサオくん
忍たま乱太郎,福富しんべヱ
怪談レストラン,カパカパ
ザ・ドラえもんズ,ドラリーニョ
友情伝説ザ・ドラえもんズ,ドラニコフ
ジャック×ダクスター,ダクスター
ちびまる子ちゃん,小杉※メイン画像右下の人物。
それいけ!アンパンマン,なだれおに
"",""
"",""
