古橋愛,帰宅部活動記録
須藤セシル,ウィザード・バリスターズ
龍ヶ嬢七々々,龍ヶ嬢七々々の埋蔵金
福王子ローラ,ジュエルペットマジカルチェンジ
キョウカ,オメガクインテット
姫路果代子,ハイスクール・フリート
神代結菜,ららマジ
荒木比奈,アイドルマスターシンデレラガールズ
西村藍(右),一週間フレンズ。
周瑜,侍霊演武
ミゼリコルデ,白猫プロジェクト
フェゴール,魔壊神トリリオン
ブレア・デイム,ファイティングEXレイヤー
藤堂香澄,KOF※1
堀千鶴子(画像中央),火ノ丸相撲
物吉貞宗,天華百剣
"",""
"",""
