ダテマキマン,それいけ!アンパンマン
ドクQ,ONEPIECE
夜神総一郎,DEATHNOTE
遠藤勇次,逆境無頼カイジ
うちはマダラ,NARUTO
コブラ,COBRA THE ANIMATION※
ノブナガ=ハザマ,HUNTER×HUNTER(2011年版)
神隼人,ゲッターロボ(OVA)
マイケル・サニーサイド,サクラ大戦
チョコラータ,ジョジョの奇妙な冒険オールスターバトル
オットー・ミタス,機動戦士ガンダムUC
平忠度,遙かなる時空の中で3
織田信長,ドリフターズ
"",""
"",""
