響リョウ,超音戦士ボーグマン
ゴエモン,がんばれゴエモン
火鳥勇太郎,太陽の勇者ファイバード
マグナムエース,疾風!アイアンリーガー
ガウリイ=ガブリエフ,スレイヤーズ
野比のび助(3代目),ドラえもん(テレビ朝日版)
波野ノリスケ(3代目),サザエさん
ウスター,コロッケ！
ウエスター,フレッシュプリキュア
アマゴワクチン,みどりのマキバオー
春野キザシ,NARUTO
アレハンドロ・コーナー,機動戦士ガンダム00
黄純,忍空
月心,覇王大系リューナイト
ツバサ,神無月の巫女
エーコー,ふしぎの海のナディア
秋山渉,頭文字D
凍矢,幽遊白書
ジャン・ハボック,鋼の錬金術師(2003年版)
王波児,GetBackers
猟犬星座のミゲル,聖闘士星矢Ω
曹操孟徳,横山光輝三国志
ロビン,バットマン
アヌビス神,ジョジョの奇妙な冒険スターダストクルセイダース
