セリーヌ・ジュレス,スターオーシャンEX
藤崎詩織,ときめきメモリアル
李香緋,餓狼伝説
ロゼ,ジェネレーションオブカオス
ミス・メリークリスマス,ONEPIECE
ステューシー,ONEPIECE
二代目おくらちゃん(右側)※,それいけ!アンパンマン
ミハル,ガサラキ
妲己,無双OROCHIシリーズ
アリス,テイルズオブシンフォニア ラタトスクの騎士
シャーロット・コンポート,ONEPIECE
"",""
