マーカス・フェニックス,Gearsofwar
メルクリモン,デジモンセイバーズ
ジョンソン軍曹,Haloシリーズ
マチェーテ,マチェーテ
ヤックスリー,ハリー・ポッターと死の秘宝 PART1
ジョー・ベイカー,バイオハザード7
