ディアッカ・エルスマン/マーチン・ダコスタ,機動戦士ガンダムSEEDシリーズ
オーストリア,Axis Powers ヘタリア
ヴァンフェニー・ヴァンプ,イナズマイレブンGOクロノ・ストーン
