ガゼルマン,キン肉マンII世
ジャンバール,ONEPIECE
チェ・グソン,PSYCHO-PASS
メルキューレモン,デジモンフロンティア
セフィロトモン,デジモンフロンティア
ブラックセラフィモン（※画像中央）,デジモンフロンティア
エテモン,デジモンアドベンチャー
メガザラック,トランスフォーマースーパーリンク
メディックノックアウト,トランスフォーマープライム
