リンスレット・ローレンフロスト,精霊使いの剣舞
アリサ,Shadowverse
浅見ミワコ,Tokyo7thシスターズ
ニノ,ファイアーエムブレムヒーローズ
ノエル・シルヴァ,ブラッククローバー
大空遥,はるかなレシーブ
月島結衣,八月のシンデレラナイン
スーパークリーク,ウマ娘
近衛霧乃,バレットガールズ2
