マスターチーフ,HALO
アザゼル,X-MEN:ファーストジェネレーション
チーフ,電脳戦機バーチャロン※
ジャック・バッテイ(レジスタンスリーダー),ACV
程普,真・三國無双8
ドン・アルマゲ,宇宙戦隊キュウレンジャー
潘光琳,蒼天の拳REGENESIS
