山野淳一郎,ダンボール戦機
ジャン=ピエール・ポルナレフ,ジョジョの奇妙な冒険 スターダストクルセイダース
フランク・マッケイ,モンスターズ・ユニバーシティ
ビッグチル他,ベン10シリーズ
カフカ,NEEDLESS
スティンガー,バトルスピリッツソードアイズ
今西部長,アイドルマスターシンデレラガールズ
ロビンフッド,トムとジェリー ロビンフッド
"",""
