夜ノ森紅緒,未確認で進行形
五十鈴,ログ・ホライズン
神谷奈緒,アイドルマスターシンデレラガールズ
魔族娘,まおゆう
天野聡子,久遠の絆
三科果歩,ガールフレンド(仮)
カミカ,FAIRYTAIL
モ～たん,えとたま
櫻田岬,城下町のダンデライオン
ヒグマ,けものフレンズ
ロイド,レゴニンジャゴー
天羽斬々,武装少女マキャヴェリズム
水上郷華,ナゾトキネ
黒燿,つぐもも
吽,SHOWBYROCK!!
ローザ,ラクエンロジック
三条忍,旋光の輪舞2※
フジキセキ,ウマ娘
各務晴,りりくる
冴嶋嵐,バレットガールズ
義経,鬼斬
水蓮寺清春,魔法少女サイト
大空レイ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
四谷ゆみ,アリス・ギア・アイギス
竹富亜矢,八月のシンデレラナイン
ミア・サイラス,魔法少女特殊戦あすか
"",""
