綺場シオン,カードファイト!!ヴァンガードG
高石タケル,デジモンアドベンチャーtri.
館脇正太郎,櫻子さんの足下には死体が埋まっている
ΑΩ・ノヴァ,宇宙パトロールルル子
紅シュウ,ベイブレードバースト
パンナコッタ・フーゴ,ジョジョの奇妙な冒険黄金の風
若菜結人,ホイッスル!(2016年ボイスリメイク版)
ヨナ・バシュタ,機動戦士ガンダムNT
"",""
