ニンフ,そらのおとしもの
九崎凛子,おまもりひまり
アントニア,あそびにいくヨ!
安藤美雷,いつか天魔の黒ウサギ
ハルナ,これはゾンビですか?
鷹見水名月,デッドマン・ワンダーランド
ラウ・フェイゾォイ,セイクリッドセブン
櫛八イナホ,マケン姫っ!
小椋由美,Another
ふんこ,うぽって!!
青空,BabyPrincess
李雷薙,史上最強の弟子ケンイチ
ロザリー・ド・エムリコート・ド・グリュンネ,ストライクウィッチーズ(映画)
戸田山泉子,えびてん公立海老栖川高校天悶部
セリカ=A=マーキュリー,ブレイブルー
楠木こころ,黒魔女さんが通る!!
黒ウサギ,問題児たちが異世界から来るそうですよ?
椎名真冬,生徒会の一存 Lv.2
四糸乃,デート・ア・ライブ
柳冬実,ブラッドラッド
サカシタ・ヨミ,ガンダムビルドファイターズトライ
フェブリ,とある科学の超電磁砲S
ラズベリー咲川,リング☆ドリーム
ラピス,対魔導学園35試験小隊
ヴィヴィ・ホロパイネン,棺姫のチャイカ
