中川圭一,こちら葛飾区亀有公園前派出所
ロジャー・スミス,THEビッグオー
橘英雄,H2
伊武谷万二郎,陽だまりの樹
ジャン・クローチェ,ガンスリンガー・ガール(第1期)
如月樹,ラーゼフォン
武内空,エア・ギア
マイザー・アヴァーロ,BACCANO!
齋藤至,新テニスの王子様
シュライヤ・バスクード,劇場版ONEPIECE デッドエンドの冒険
草摩綾女,フルーツバスケット
佐藤浩二,遊☆戯☆王デュエルモンスターズGX
真ドン・サウザンド,遊☆戯☆王ZEXALII
古代守,宇宙戦艦ヤマト2199
マック・ラ・クラノスケ,映画クレヨンしんちゃん ちょー嵐を呼ぶ 金矛の勇者
コンラッド,ブルードラゴン
光明三蔵,最遊記RELOAD
景柚梨,彩雲国物語
牡羊座のムウ,聖闘士星矢 Legend of Sanctuary
スティーブン・A・スターフェイズ,血界戦線
宇練銀閣,刀語
八代学,僕だけがいない街
森鴎外,文豪ストレイドッグス
紫,ドリフターズ
アヴィケブロン,Fate/Apocrypha
