椎名深夏,生徒会の一存
水上麻衣,日常
志那都アズキ,マケン姫っ!
天野雪輝,未来日記
いちろく,うぽって!!
小島直樹,黒魔女さんが通る!!
鳶一折紙,デート・ア・ライブ
ヒビヤ,カゲロウプロジェクト
うちはシン,BORUTO
