右代宮夏妃,うみねこのなく頃に
鬼咒嵐,X（劇場版）
観月歌帆,カードキャプターさくら
先導シズカ,カードファイト!!ヴァンガード
桜樹るい子,金田一少年の事件簿＊1
オフィーリア,CLAYMORE
ユリアンヌ・フェイスフル,鉄のラインバレル
海藤ますみ,Go!プリンセスプリキュア
エンジェル,THE ビッグオー
陽炎,獣兵衛忍風帖
遠見千鶴,蒼穹のファフナー＊2
御坂美鈴,とある魔術の禁書目録II
うずまきクシナ,NARUTO -ナルト- 疾風伝
セイラ,白鯨伝説
飯村真理,はじめの一歩
シャーロット,バンパイアハンターD
木野まこと/セーラージュピター,美少女戦士セーラームーン
夏玉芳,フルメタル・パニック!The Second Raid＊3
B子（大徳寺美子）,プロジェクトA子
木蓮,ぼくの地球を守って
プレセア,魔法騎士レイアース
アザリー,魔術士オーフェン
水野蓉子,マリア様がみてる
エレン,ルパン三世 ワルサーP38
