岬太郎(青年期),キャプテン翼J
アデュー・ウォルサム,覇王大系リューナイト
サッカー刑事ドリルボーイ,勇者警察ジェイデッカー
日向マコト,新世紀エヴァンゲリオン
風祭翼,勇者指令ダグオン
デンデ(青年期),ドラゴンボールシリーズ
タピオン,映画ドラゴンボールZ龍拳爆発!!悟空がやらねば誰がやる
深海流太郎,メタルファイトベイブレード
大竹,トリコ
早すぎた天才,忍たま乱太郎
山田利吉(第1･2期),忍たま乱太郎
伊賀崎孫兵(第1期),忍たま乱太郎
アルフレッド,スレイヤーズNEXT
カルロ・セレーニ,爆走兄弟レッツ&ゴー!!WGP
月夜野臣,ヴァイスクロイツ
太公望,封神演義
クロード・C・ケニー,スターオーシャンEX
ライカ,ロックマンエグゼ
甲本ショウ,怪談レストラン
スタン・マーシュ,サウスパーク
ライス,ボボボーボ・ボーボボ
クロト・ブエル,機動戦士ガンダムSEED
カワリーノ,Yes!プリキュア5
ディクセリオ・マスケイン,鋼殻のレギオス
魯神フッド,祝!(ハピ☆ラキ)ビックリマン
ドロッサス,マジンボーン
