歌ウタコ,地下すぎアイドルあかえちゃん
めぐみ,おへんろ。～八十八歩記～
小花鈴,それが声優!
ペトラ・レイテ,Re:ゼロから始める異世界生活
天下ハナビ,灼熱の卓球娘
中島ゆあ,ひなこのーと
ネム・エモット(右),オーバーロード
伝木凱にわか,AKIBA'STRIP
ユミナ・エルネア・ベルファスト,異世界はスマートフォンとともに。
さっちゃん,三ツ星カラーズ
月鈴白奈,イロドリミドリ
ニュニュ,フリップフラッパーズ
椿森幸,スロウスタート
しばりん,SHOWBYROCK!!
シャーリー/霧島舞,SAOAGGO
悪意のエモニ,セインティア翔
"",""
"",""
