本多・忠勝,境界線上のホライゾン
夜行さん他,第5期 ゲゲゲの鬼太郎
マッハバイス,ONE PIECE
切り裂きジャック,ジョジョの奇妙な冒険 ファントムブラッド
ジグロ,精霊の守り人
