エリザ,シャーマンキング
マリアム,ベイブレード
東せつな/キュアパッション,フレッシュプリキュア
カルイ,NARUTO
スキャンティ,パンティ&ストッキングwithガーターベルト
高内昌子,俺たちに翼はない
アル・ルゥ,アルトネリコ3
メイメイ,サモンナイトシリーズ
イオス,サモンナイトシリーズ
アニス,聖剣伝説4
アレクシス・ヒルデン,戦場のヴァルキュリア2
箱崎チカ,超次元ゲイムネプテューヌmk2
電光のエレカ,新・光神話パルテナの鏡
グラキエース,第2次スーパーロボット大戦OG
レイ・レイホゥ,ソウルハッカーズ<3DS版>
森山夏紀,ペルソナ3<左側>
シャイナ,聖闘士星矢
キナ,ドラゴンズドグマ
玉藻前,無双OROCHI2
九尾の狐,無双OROCHI2
シェリー・ポルナレフ,ジョジョの奇妙な冒険スターダストクルセイダース<右側>
ミナコ,ユーリ!!!onICE
レベッカ・ターナー,魔装機神
カリフラ,ドラゴンボール超
レディバ,ポケットモンスタークリスタル
キッカ・キタモト,機動戦士ガンダムZ（劇場版）
