ジューン,コヨーテラグタイムショー
ひさ子,AngelBeats!
龍光寺カイ,ときめきメモリアル4
ココノエ,ブレイブルー
柏木晴子,マブラヴ
片岡メグ,暗殺教室
Eliza,スカルガールズ
"",""
"",""
