大河内アキラ,魔法先生ネギま!
アーシア・アルジェント,ハイスクールD×D
星野爽歌,好きです鈴木くん!!(OVA)
五月七日くみん,中二病でも恋がしたい!
食蜂操祈,とある科学の超電磁砲
エメラダ・エトゥーヴァ,はたらく魔王さま!)
立川姫子（右側）,姫ギャルパラダイス
萩原雪歩(2代目),アイドルマスター2
ユコ,クリミナルガールズ
十六夜月香,圧倒的遊戯ムゲンソウルズ
メリエーラ,エルクローネのアトリエ
森泉鈴,AKIBA'STRIP
徳川梓,小林が可愛すぎてツライっ!!
岩淵まちこ,輪廻のラグランジェ
ユウコゥ,ファンタジスタドール ガールズロワイヤル
犬飼伊介,悪魔のリドル
勇往邁進のループ,バレットソウル
レディー・J,ヴァルキリードライヴ　マーメイド
鳶沢みさき,蒼の彼方のフォーリズム
ライフィセット,テイルズオブベルセリア
マオテラス,テイルズオブゼスティリアザクロス
