高橋七美,僕等がいた
パトリシア・マーティン,らき☆すた
御坂妹,とある魔術の禁書目録
サフィー,ジュエルペットシリーズ
イオ,ジュエルペットシリーズ
赤城チナツ,ほんとにあった!霊媒先生
キョウコ・ツマブキ,舞-乙HiME
ピュラ・アレクサンドル,ソウルキャリバーV
リアン,Tartaros
ユリ,Tartaros
国広律子,屍鬼
海老名姫菜,やはり俺の青春ラブコメはまちがっている。
根本クララ,ジュエルペットサンシャイン
餅田むつみ,ジュエルペットハッピネス
ダヌア,グランブルーファンタジー
フェリシア,ファイアーエムブレムif
オボロ,ファイアーエムブレムif
萌黄,ドリームクラブGogo.
